baz,116,288540,3,baz,baz,rr 5: 
bat,117,23054,3,bat,bat1,rr 1: 
batt,117,256490,3,batt,bat2,rr 2: 
bore,118,18025,3,bør#è,baw1,rr 1: 
boar,118,46403,3,bøàr0,baw2,rr 2: 
boer,118,84430,3,bøèr,baw3,rr 3: 
bohr,118,142390,3,bøħr,baw4,rr 4: 
bare,121,12932,3,bãŕè,bea1,rr 1: 
dab,121,80783,3,dab,dab,rr 2: 
fab,121,97541,3,fab,fab,rr 3: 
adder,121,141235,3,addèŕ,ada,rr 4: 
bair,121,257666,3,bãìŕ,bea2,rr 5: 
dad,122,4809,3,dad,dad,rr 1: 
faye,122,36113,3,fãýè,fae1,rr 2: 
fay,122,95028,3,fãý,fae2,rr 3: 
fad,122,105469,3,fad,fad,rr 4: 
ebbed,122,117859,3,ebbèd,ebd,rr 5: 
beg,123,26701,3,beg,beg1,rr 1: 
fag,123,63948,3,fag,fag1,rr 2: 
fagg,123,104429,3,fagg,fag2,rr 3: 
begg,123,179287,3,begg,beg2,rr 4: 
dag,123,197060,3,dag,dag,rr 5: 
bell,124,9835,3,bell,bel1,rr 1: 
beck,124,34611,3,beck0,bek1,rr 2: 
belle,124,45797,3,bellè,bel2,rr 3: 
dal,124,65453,3,dal,dal,rr 4: 
bel,124,84182,3,bel,bel3,rr 5: 
bec,124,101391,3,bec,bek2,rr 6: 
dak,124,223881,3,dak,dak1,rr 7: 
ben,125,10426,3,ben,ben1,rr 1: 
damn,125,14514,3,damn0,dam1,rr 2: 
fan,125,16506,3,fan,fan1,rr 3: 
dan,125,24769,3,dan,dan1,rr 4: 
dam,125,33432,3,dam,dam2,rr 5: 
benn,125,39413,3,benn,ben2,rr 6: 
dann,125,140871,3,dann,dan2,rr 7: 
adds,126,13678,3,addś,adz1,rr 1: 
da,126,31388,3,dā,dar1,rr 2: 
ads,126,35945,3,adś,adz2,rr 3: 
ayr,126,49308,3,ãýr,aer,rr 4: 
farr,126,85344,3,fārr0,far2,rr 5: 
dar,126,108734,3,dār#,dar2,rr 6: 
farrer,126,155991,3,fār#r0èr0,far3,rr 7: 
fat,127,7511,3,fat,fat,rr 1: 
eight,127,10500,3,eĩg0ħt,aet,rr 2: 
bet,127,11441,3,bet,bet1,rr 3: 
aft,127,72061,3,aft,aft,rr 4: 
dat,127,79842,3,dat,dat,rr 5: 
bev,127,114324,3,bev,bev,rr 6: 
bett,127,218407,3,bett,bet2,rr 7: 
door,128,1193,3,døòr0,daw1,rr 1: 
four,128,10500,3,føùr0,faw2,rr 2: 
fore,128,39973,3,før#è,faw3,rr 3: 
das,128,82047,3,das,das1,rr 4: 
bey,128,107576,3,bey,bey,rr 5: 
bess,128,118870,3,bess,bes,rr 6: 
dore,128,136076,3,dør#è,daw2,rr 7: 
beer,131,10020,3,bėèŕ,bia,rr 1: 
bib,131,109396,3,bib,bib,rr 2: 
gab,131,206139,3,gab,gab,rr 3: 
bid,132,8785,3,bid,bid,rr 1: 
gay,132,15540,3,gãý,gae1,rr 2: 
hay,132,22543,3,hãý,hae,rr 3: 
biff,132,73192,3,biff,bif,rr 4: 
gaye,132,149219,3,gãýè,gae2,rr 5: 
gaff,132,171552,3,gaff,gaf1,rr 6: 
gaffe,132,173708,3,gaffè,gaf2,rr 7: 
big,133,1183,3,big,big,rr 1: 
gag,133,81301,3,gag,gag,rr 2: 
hag,133,108724,3,hag,hag,rr 3: 
bill,134,2436,3,bill,bil1,rr 1: 
hal,134,50386,3,hal,hal,rr 2: 
hack,134,58317,3,hack0,hak1,rr 3: 
gal,134,87066,3,gal,gal,rr 4: 
bic,134,212215,3,bic,bik,rr 5: 
haq,134,236071,3,haq,hak2,rr 6: 
bil,134,246487,3,bil,bil2,rr 7: 
ham,135,18917,3,ham,ham1,rr 1: 
bin,135,24325,3,bin,bin,rr 2: 
ibn,135,68327,3,ibn,ibn,rr 3: 
hann,135,170775,3,hann,han,rr 4: 
gan,135,197827,3,gan,gan1,rr 5: 
hamm,135,263256,3,hamm,ham2,rr 6: 
gann,135,278747,3,gann,gan2,rr 7: 
gap,136,9737,3,gap,gap,rr 1: 
ha,136,36067,3,hā,har1,rr 2: 
hah,136,121702,3,hāħ,har2,rr 3: 
gare,136,125706,3,gār#è,gar1,rr 4: 
biz,136,157388,3,biz,biz,rr 5: 
bere,136,163387,3,bėrè,bir,rr 6: 
hap,136,318013,3,hap,hap,rr 7: 
bit,137,2611,3,bit,bit,rr 1: 
hat,137,10531,3,hat,hat1,rr 2: 
gatt,137,34636,3,gatt,gat,rr 3: 
halve,137,83478,3,hal0vè,hav2,rr 4: 
hatt,137,85463,3,hatt,hat2,rr 5: 
gas,138,4798,3,gas,gas,rr 1: 
bee,138,38311,3,bêè,biy2,rr 2: 
whore,138,57274,3,w0hør#è,haw1,rr 3: 
gore,138,57365,3,gør#è,gaw,rr 4: 
hoare,138,75050,3,høàr0è,haw2,rr 5: 
bea,138,78459,3,bêà,biy3,rr 6: 
bis,138,92718,3,bis,bis,rr 7: 
cab,141,17871,3,cab,kab,rr 1: 
lab,141,31818,3,lab,lab,rr 2: 
blur,141,50687,3,blùŕ,bla,rr 3: 
jab,141,91637,3,jab,jab,rr 4: 
azure,141,103512,3,az#ùŕè,aja,rr 5: 
aca,141,167069,3,acá,aka1,rr 6: 
acker,141,231959,3,ack0èŕ,aka2,rr 7: 
lad,142,15029,3,lad,lad1,rr 1: 
jay,142,25655,3,jãý,jae1,rr 2: 
calf,142,33334,3,cal0f,kaf,rr 3: 
kay,142,41888,3,kãý,kae1,rr 4: 
alf,142,54309,3,alf,alf,rr 5: 
cad,142,57407,3,cad,kad,rr 6: 
kaye,142,75015,3,kãýè,kae2,rr 7: 
lag,143,51611,3,lag,lag,rr 1: 
lack,144,3475,3,lack0,lak1,rr 1: 
jack,144,5880,3,jack0,jak1,rr 2: 
cal,144,72898,3,cal,kal1,rr 3: 
lal,144,75586,3,lal,lal,rr 4: 
lac,144,84217,3,lac,lak2,rr 5: 
cac,144,169760,3,cac,kak,rr 6: 
kal,144,266049,3,kal,kal2,rr 7: 
lamb,145,16831,3,lamb0,lam1,rr 1: 
jan,145,19173,3,jan,jan1,rr 2: 
jam,145,23621,3,jam,jam1,rr 3: 
cam,145,43613,3,cam,kam1,rr 4: 
lan,145,60315,3,lan,lan,rr 5: 
cannes,145,74112,3,cannès0,kan2,rr 6: 
lam,145,136440,3,lam,lam2,rr 7: 
la,146,7283,3,lā,lar1,rr 1: 
cap,146,14136,3,cap,kap1,rr 2: 
lap,146,19859,3,lap,lap1,rr 3: 
jazz,146,22032,3,jazz,jaz,rr 4: 
jar,146,32721,3,jār#,jar1,rr 5: 
carr,146,41825,3,cārr0,kar2,rr 6: 
karr,146,72786,3,kārr0,kar3,rr 7: 
act,147,1085,3,act,akt,rr 1: 
cat,147,8680,3,cat,kat1,rr 2: 
kat,147,124925,3,kat,kat2,rr 3: 
law,148,1102,3,låw0,law1,rr 1: 
core,148,9873,3,cør#è,kaw1,rr 2: 
corps,148,21595,3,cør#p0s0,kaw2,rr 3: 
jaw,148,23051,3,jåw0,jaw,rr 4: 
axe,148,28798,3,axè,aks1,rr 5: 
cor,148,32693,3,cør#,kaw3,rr 6: 
lass,148,43011,3,lass,las,rr 7: 
bob,151,7644,3,bob,bob,rr 1: 
anna,151,11539,3,anná,ana1,rr 2: 
ana,151,44100,3,aná,ana2,rr 3: 
nab,151,102910,3,nab,nab,rr 4: 
mab,151,152596,3,mab,mab,rr 5: 
amor,151,195944,3,amòŕ,ama,rr 6: 
