fil,234,249175,3,fil,fil3,rr: 
dic,234,278026,3,dic,dik3,rr: 
henn,235,298277,3,henn,hen2,rr: 
dea,238,67305,3,dêà,diy2,rr: 
dis,238,75281,3,dis,dis1,rr: 
hesse,238,134589,3,hessè,hes2,rr: 
diss,238,144777,3,diss,dis2,rr: 
haigh,238,165053,3,hâìg0ħ,hey2,rr: 
jem,245,124981,3,jem,jem2,rr: 
med,252,100593,3,med,med,rr: 
ode,252,104622,3,ôdè,oed2,rr: 
fo,252,105000,3,fô,foe2,rr: 
neff,252,208558,3,neff,nef,rr: 
foy,253,178111,3,fσy0,foi2,rr: 
fogg,253,203266,3,fogg,fog2,rr: 
mel,254,49997,3,mel,mel,rr: 
knell,254,133182,3,k0nell,nel2,rr: 
nel,254,197186,3,nel,nel3,rr: 
dol,254,204844,3,dol,dol2,rr: 
fu,255,101920,3,fü,foo2,rr: 
donne,255,111268,3,dónnè,don1,rr: 
ohm,255,150885,3,ôħm,oem,rr: 
deux,255,152526,3,dëùx0,doo6,rr: 
foo,255,171087,3,föò,foo3,rr: 
phu,255,254093,3,þħü,foo4,rr: 
donn,255,279307,3,donn,don2,rr: 
foss,258,176648,3,foss,fos2,rr: 
nes,258,182973,3,nes,nes2,rr: 
doss,258,201323,3,doss,dos,rr: 
ence,258,210000,3,ençè,ens,rr: 
dao,258,257239,3,dàõ,dow2,rr: 
renn,265,287325,3,renn,ren2,rr: 
ren,265,290493,3,ren,ren3,rr: 
duc,274,86614,3,duc,duk2,rr: 
yule,274,151770,3,y0ûlè,uel,rr: 
tek,274,187820,3,tek,tek3,rr: 
teck,274,257981,3,teck0,tek4,rr: 
dum,275,97898,3,dum,dum2,rr: 
dunne,275,114226,3,dunnè,dun4,rr: 
venn,275,190505,3,venn,ven,rr: 
fir,276,60998,3,fìŕ,fur2,rr: 
fer,276,61803,3,fèŕ,fur3,rr: 
fuzz,276,137361,3,fuzz,fuz,rr: 
ure,276,160142,3,ûrè,uer,rr: 
youse,276,209604,3,y0òûśè,uez3,rr: 
fie,278,70000,3,fîè,fuy1,rr: 
dai,278,70941,3,dàî,duy4,rr: 
phi,278,167597,3,þħî,fuy2,rr: 
ail,284,129356,3,âìl,eyl2,rr: 
cel,284,238514,3,çel,sel3,rr: 
lyn,345,61988,3,lẏn,lin2,rr: 
lin,345,72978,3,lin,lin3,rr: 
lim,345,160674,3,lim,lim2,rr: 
jin,345,177170,3,jin,jin2,rr: 
linn,345,186746,3,linn,lin4,rr: 
linh,345,203444,3,linħ,lin5,rr: 
qin,345,271866,3,qin,kin2,rr: 
gee,348,63066,3,ĝêè,jiy1,rr: 
kee,348,77280,3,kêè,kiy3,rr: 
ly,348,85834,3,lý,liy5,rr: 
ki,348,126360,3,kï,kiy4,rr: 
ilse,348,147560,3,ilsè,ils,rr: 
lis,348,154528,3,lis,lis1,rr: 
liss,348,168588,3,liss,lis2,rr: 
ji,348,256238,3,jï,jiy2,rr: 
quai,348,276227,3,qùàï,kiy5,rr: 
qi,348,307552,3,qï,kiy6,rr: 
ngo,352,153520,3,n0gô,goe3,rr: 
goh,352,174254,3,gôħ,goe4,rr: 
hof,352,232393,3,hof,hof1,rr: 
hoff,352,305655,3,hoff,hof2,rr: 
mic,354,135695,3,mic,mik2,rr: 
inge,354,139930,3,inĝè,inj,rr: 
mille,354,144525,3,millè,mil3,rr: 
hoc,354,146786,3,hoc,hok1,rr: 
hock,354,153146,3,hock0,hok2,rr: 
nik,354,161892,3,nik,nik2,rr: 
hoch,354,207882,3,hocħ,hok3,rr: 
knill,354,277557,3,k0nill,nil2,rr: 
hew,355,140000,3,hëw0,hoo4,rr: 
hou,355,181821,3,höù,hoo5,rr: 
gu,355,255006,3,gü,goo2,rr: 
hom,355,279377,3,hom,hom2,rr: 
mis,358,117400,3,mis,mis2,rr: 
gow,358,133549,3,gõw0,gow,rr: 
goss,358,146688,3,goss,gos1,rr: 
gosse,358,148585,3,gossè,gos2,rr: 
mee,358,222621,3,mêè,miy3,rr: 
mea,358,225438,3,mêà,miy4,rr: 
hoss,358,233443,3,hoss,hos,rr: 
hao,358,254173,3,hàõ,how3,rr: 
rill,364,266290,3,rill,ril,rr: 
zea,368,310614,3,zêà,ziy3,rr: 
tic,374,130301,3,tic,tik2,rr: 
gul,374,218606,3,gul,gul2,rr: 
vick,374,231234,3,vick0,vik2,rr: 
vin,375,105959,3,vin,vin,rr: 
vim,375,242441,3,vim,vim,rr: 
gus,378,70672,3,gus,gus,rr: 
vee,378,155148,3,vêè,viy,rr: 
sinn,385,295074,3,sinn,sin2,rr: 
witt,387,145943,3,witt,wit3,rr: 
witte,387,234615,3,wittè,wit4,rr: 
yi,388,148746,3,yï,yiy2,rr: 
oui,388,151599,3,òυï,wiy3,rr: 
cod,452,46767,3,cod,kod1,rr: 
coe,452,86425,3,côè,koe2,rr: 
loe,452,149642,3,lôè,loe4,rr: 
ko,452,149926,3,kô,koe3,rr: 
koh,452,207910,3,kôħ,koe4,rr: 
codd,452,241150,3,codd,kod2,rr: 
joffe,452,282786,3,joffè,jof,rr: 
joh,452,291130,3,jôħ,joe3,rr: 
kok,454,169057,3,kok,kok2,rr: 
loll,454,233600,3,loll,lol,rr: 
ju,455,57186,3,jü,joo2,rr: 
com,455,83643,3,com,kom1,rr: 
cou,455,112518,3,cöù,koo2,rr: 
lu,455,123469,3,lü,loo3,rr: 
ku,455,141270,3,kü,koo3,rr: 
coo,455,145358,3,cöò,koo4,rr: 
conn,455,164293,3,conn,kon2,rr: 
qu,455,181338,3,qü,koo5,rr: 
koo,455,185577,3,köò,koo6,rr: 
lew,455,190711,3,lëw0,loo4,rr: 
joo,455,219159,3,jöò,joo3,rr: 
kohn,455,224920,3,koħn,kon3,rr: 
lon,455,238910,3,lon,lon,rr: 
leu,455,251534,3,lëù,loo5,rr: 
qom,455,266994,3,qom,kom2,rr: 
kos,458,141288,3,kos,kos,rr: 
ochs,458,248584,3,ocħs,oks2,rr: 
cao,458,294966,3,càõ,kow3,rr: 
pod,562,68610,3,pod,pod,rr: 
rowe,562,75068,3,rôw0è,roe6,rr: 
poe,562,121327,3,pôè,poe2,rr: 
rho,562,200973,3,rħô,roe7,rr: 
roux,565,126367,3,röùx0,roo2,rr: 
poo,565,135754,3,pöò,poo4,rr: 
zhu,565,156243,3,zħü,zoo2,rr: 
zhou,565,216566,3,zħöù,zoo3,rr: 
pom,565,270067,3,pom,pom,rr: 
pew,565,3499996,3,pëw0,poo5,rr: 
poss,568,217304,3,poss,pos,rr: 
pao,568,242403,3,pàõ,pow2,rr: 
mudd,572,276801,3,mudd,mud2,rr: 
tonne,575,52458,3,tónnè,ton2,rr: 
tue,575,57543,3,tüè,too3,rr: 
numb,575,57788,3,numb0,num,rr: 
thom,575,95791,3,tħom,tom2,rr: 
tu,575,97902,3,tü,too4,rr: 
nunn,575,114653,3,nunn,nun3,rr: 
munn,575,125891,3,munn,mun,rr: 
vu,575,184201,3,vü,voo,rr: 
mumm,575,239841,3,mumm,mum2,rr: 
wad,582,87860,3,wād,wod,rr: 
whoa,582,114177,3,wħôà,woe3,rr: 
yon,585,104366,3,yon,yon,rr: 
som,585,117593,3,som,som,rr: 
whoo,585,121926,3,wħöò,woo3,rr: 
suu,585,134137,3,süù,soo3,rr: 
sioux,585,160401,3,sìöùx0,soo4,rr: 
soo,585,179700,3,söò,soo5,rr: 
yom,585,234493,3,yom,yom,rr: 
sonne,585,311675,3,sonnè,son,rr: 
russe,678,245458,3,russè,rus2,rr: 
pye,678,3499996,3,pŷè,puy3,rr: 
sul,784,264621,3,sul,sul,rr: 
yun,785,233135,3,yun,yun,rr: 
ise,786,140661,3,îśè,uyz3,rr: 
ire,786,142950,3,îrè,uyr,rr: 
whir,786,155554,3,wħìŕ,wur2,rr: 
whirr,786,155554,3,wħìŕr0,wur3,rr: 
ais,786,209636,3,àîś,uyz4,rr: 
searles,786,299341,3,sèàŕl0ès0,sur3,rr: 
wai,788,254978,3,wàî,wuy3,rr: 
falla,1214,219581,4,fallá,fala,rr: 
falk,1248,109184,4,fål0k,fawk2,rr: 
dall,1248,111321,4,dål0l,dawl,rr: 
dax,1248,149827,4,dax,daks,rr: 
becks,1248,178174,4,beck0s,beks,rr: 
dorm,1258,140752,4,dør#m,dawm1,rr: 
daum,1258,176568,4,dåùm,dawm2,rr: 
gored,1328,241066,4,gør#èd,gawd2,rr: 
hawke,1348,54387,4,håw0kè,hawk2,rr: 
gaul,1348,55568,4,gåùl,gawl3,rr: 
hacks,1348,81377,4,hack0s,haks,rr: 
beale,1348,91294,4,bêàlè,biyl1,rr: 
beal,1348,180450,4,bêàl,biyl2,rr: 
bisque,1348,208650,4,bisqùè,bisk,rr: 
gans,1356,212333,4,ganś,ganz,rr: 
gauze,1368,74935,4,gåùzè,gawz1,rr: 
haas,1368,115164,4,hāàs,hars,rr: 
bier,1368,146727,4,bìêr,biyr,rr: 
gores,1368,224581,4,gør#èś,gawz2,rr: 
haws,1368,237297,4,håw0ś,hawz3,rr: 
laffer,1412,199678,4,laffèŕ,lafa,rr: 
blare,1412,208165,4,blãŕè,blea2,rr: 
kara,1416,132727,4,kārá,kara,rr: 
kappa,1416,133502,4,kappá,kapa1,rr: 
capper,1416,139458,4,cappèŕ,kapa2,rr: 
allis,1438,180390,4,allis,alis2,rr: 
chasm,1456,66113,4,cħaśm,kazm,rr: 
kahn,1456,80338,4,kāħn,karn2,rr: 
carne,1456,84548,4,cār#nè,karn3,rr: 
carn,1456,91691,4,cār#n,karn4,rr: 
caan,1456,227910,4,cāàn,karn5,rr: 
laps,1468,42918,4,laps,laps2,rr: 
cores,1468,51618,4,cør#èś,kawz2,rr: 
japs,1468,154688,4,japs,japs,rr: 
lawes,1468,156862,4,låw0èś,lawz2,rr: 
lapps,1468,204668,4,lapps,laps3,rr: 
axed,1478,55190,4,axèð,akst,rr: 
bligh,1478,150102,4,blîg0ħ,bluy,rr: 
manna,1515,103123,4,manná,mana3,rr: 
nanna,1515,145461,4,nanná,nana2,rr: 
boob,1515,208052,4,böòb,boob,rr: 
anas,1518,159067,4,anás,anas,rr: 
mauer,1518,193360,4,máυèŕ,mawa,rr: 
massa,1518,214186,4,massá,masa2,rr: 
ammo,1525,135888,4,ammô,amoe,rr: 
bown,1525,154365,4,bôw0n,boen2,rr: 
anno,1525,193131,4,annô,anoe,rr: 
boehm,1525,219142,4,bôèħm,boem,rr: 
boase,1526,214549,4,bôàśè,boez5,rr: 
boggs,1536,232816,4,boggś,bogz2,rr: 
bosh,1538,235549,4,boŝħ,bosh,rr: 
anise,1538,237620,4,anísè,anis,rr: 
mort,1578,91560,4,mør#t,mawt,rr: 
naught,1578,95305,4,nåùg0ħt,nawt2,rr: 
norte,1578,156442,4,nør#tè,nawt3,rr: 
gnats,1578,169134,4,g0nats,nats,rr: 
bossed,1578,176659,4,bossèð,bost,rr: 
alla,1614,123669,4,āllá,arla2,rr: 
aral,1614,187230,4,ārál,aral,rr: 
arpa,1616,191136,4,ār#pá,arpa,rr: 
raza,1616,206359,4,razá,raza,rr: 
zarb,1616,237985,4,zār#b,zarb,rr: 
panned,1625,131344,4,pannèd,pand,rr: 
rayne,1625,139122,4,rãýnè,raen,rr: 
brod,1625,216415,4,brod,brod,rr: 
pask,1648,126501,4,pask,pask,rr: 
pax,1648,143437,4,pax,paks2,rr: 
pacs,1648,167304,4,pacs,paks3,rr: 
rask,1648,223886,4,rask,rask,rr: 
amr,1656,163807,4,āmr,armr,rr: 
rasp,1668,91510,4,rasp,rasp,rr: 
raps,1668,109252,4,raps,raps2,rr: 
arps,1668,164057,4,ār#ps,arps,rr: 
tans,1756,88774,4,tanś,tanz,rr: 
bern,1756,106391,4,bèŕn,burn3,rr: 
berndt,1756,110572,4,bèŕnd0t0,burn4,rr: 
vamp,1756,140196,4,vamp,vamp,rr: 
sachs,1848,60451,4,sacħs,saks2,rr: 
sax,1848,82829,4,sax,saks3,rr: 
yorke,1848,93489,4,yør#kè,yawk2,rr: 
wark,1848,103556,4,wår0k,wawk2,rr: 
sacs,1848,107968,4,sacs,saks4,rr: 
wal,1848,141463,4,wål,wawl2,rr: 
sorge,1848,147275,4,sør#ĝè,sawj,rr: 
saks,1848,150409,4,saks,saks5,rr: 
whacks,1848,228792,4,wħack0s,waks2,rr: 
hale,2348,44766,4,hâlè,heyl2,rr: 
gail,2348,45181,4,gâìl,geyl2,rr: 
dicks,2348,71715,4,dick0s,diks,rr: 
